dialogue_id,summary,time_taken,memory_usage
1,Mr. Smith visits the doctor for a check-up. The doctor advises him to quit smoking and to have a check-up every year.,0.480078125,93.70720703125
2,"Dr. Peters and Mrs. Parker discuss Ricky's vaccination record. Ricky is due for Hepatitis A, Chickenpox and Measles shots. Mrs. Parker also needs a Tetanus booster.",0.4420972156524658,91.128203125
3,A person lost their keys and a small foot ornament. They asked a person for help. The person found the keys and the person was very thankful.,0.4420972156524658,91.128203125
4,Person1 is upset that Person2 didn't tell them about their girlfriend and upcoming marriage.,0.4420972156524658,91.128203125
5,"Malik asks Wen to dance, she says no, but he takes her friend Nikki instead.",0.4420972156524658,91.128203125
6,"Happy birthday, Aims! Here is a present for you. I hope you like it. Oh, great! I love it! You know I've been expecting this for a long time. I'm very glad to hear that. Come here ; let me introduce some friends to you.",0.4420972156524658,91.128203125
7,"#Person1#: Here we come. #Person2#: Thank you. What's the fare? #Person1#: $ 10. #Person2#: How can it be? #Person1#: Well, the rate is two dollars for the first two kilometers and twenty cents for each additional two hundred meters. #Person2#: I see. Thanks for your drive.",0.4420972156524658,91.128203125
8,"Judy Liao applied for the accounts assistant position. She sent in her resume, cover letter, and two letters of recommendation. The recruiter checked her resume and confirmed that she had sent in all the required documents.Person1 doesn't know when interviews will start, but they are still receiving resumes. Person2 thanks Person1 for their help.",0.956432933807373,208.773046875
9,"This is a good basic computer package with a good CPU, 256 megabytes of RAM, a DVD player, a built-in modem, and a 15-inch monitor.",0.4420972156524658,91.128203125
10,"Person1 is looking for the visa office and asks Person2 for help. Person2 agrees to help and asks if Person1 is applying to study or work abroad. Person1 says she wants to study English Literature. Person2 asks if she has her visa yet and Person1 says she has an interview with a visa official today. Person2 asks if it is her first interview and Person1 says no, she has already been here for 3 interviews.",0.480078125,93.70720703125
11,"Person1 asks Person2 to run to the store to buy sugar, oranges, and milk. Person2 agrees and buys the items.",0.4420972156524658,91.128203125
12,#Person1# and #Person2# look at pictures of #Person1#'s mother. #Person2# wants a slide and wallet size print.,0.4420972156524658,91.128203125
13,Person1 and Person2 discuss Bean's sexual harassment.,0.4420972156524658,91.128203125
14,"Keith is 21, James is 22, and their father retired last week. He wants to travel the world.",0.4420972156524658,91.128203125
15,"Person1 likes classical music, Person2 likes dance music. Person2 is considering listening to classical music to reduce stress.Person 2 has classical music CDs and suggests Person 1 to listen to classical music to increase brain power. Person 1 suggests to listen to classical music on the internet and Person 2 suggests to listen to lively music to become livelier and happier.",0.956432933807373,208.773046875
16,Person1 is confused by what he said. Person2 thinks he means well.,0.480078125,93.70720703125
17,"On Valentine's Day, boys give roses to girls and girls give them chocolate in return.",0.4420972156524658,91.128203125
18,Person1 compliments Person2 on her triplets and asks if she plans on having more. Person2 complains about the lack of sleep and the difficulties of raising triplets. Person1 encourages her to hang in there.,0.4420972156524658,91.128203125
19,#Person1# and #Person2# discuss their favorite ice cream flavors and dislike for garlic ice cream.,0.480078125,93.70720703125
20,Dave will come back to work and start as soon as he can get there.,0.4420972156524658,91.128203125
21,"Person1 wants to change clothes in the car, Person2 objects.",0.480078125,93.70720703125
22,"Check in at Air China's counter 30 minutes before take-off, show ID cards, check luggage, hand carry small bags, open for inspection, frisk passengers.",0.480078125,93.70720703125
23,"Person1 needs a mover to move from the 8th floor to the 6th floor in another building, which is about 15 kilometers away. The cost depends on the floor to move to, the distance between two places and the amount of the furniture to move. The charge is divided into two parts, the Payment in Advance and the rest.If any articles were damaged during moving, you can claim compensation.",0.956432933807373,208.773046875
24,Mike and Cathy broke up because Mike got sick and tired of her nagging.,0.4420972156524658,91.128203125
25,Superbad is Person2's favorite movie.,0.4420972156524658,91.128203125
26,Person1 is in a bar for the first time. Person2 is showing her around. They get a free drink.#Person2# will show how to get the bartender's attention.,0.956432933807373,208.773046875
27,The bus driver tells the passenger when to get off at the Central Park.,0.4420972156524658,91.128203125
28,Jessica is leaving the company at the beginning of the next month. She has been offered another job with higher salary and promotion opportunity. Mr. White is sorry to hear about it and offers to write a letter of recommendation for her.,0.480078125,93.70720703125
29,"Person2 has experience in sales work. He worked for a foreign trade company for nearly two years, where he established business ties with several firms. He visited customers and dispatched consignments. He left the company two months ago because he didn't think he could learn much there, and there were not many opportunities for self-development. He chose our company because he has lots of acquaintances in the region, which might help to push sales.",0.6617314052581788,93.70708984375
30,Person1 and Person2 will wash clothes instead of cleaning the house.,0.480078125,93.70720703125
31,"#Person1#: May I take your order? #Person2#: We haven't decided yet. Could you give us a little longer? #Person1#: Yes, take your time, please. #Person2#: Can we get something to drink? We want two bottles of beer. #Person1#: Fine. #Person2#: Could you tell us your specials today? #Person1#: The special today is steak. #Person2#: We'll take this steak dinner. #Person1#: What would you like to go with your steak? #Person2#: Peas and carrots. #Person1#: I see. What would you like for dessert? #Person2#: Icecream, please.",0.6617314052581788,93.70708984375
32,Customer wants a leather jacket and a silk dress.,0.6617314052581788,93.70708984375
33,"Los Angeles has good climate, but dirty air.",0.6617314052581788,93.70708984375
34,"Person2 is writing a paper about Hollywood in the 30s and 40s. Person1 helps him narrow down his search by suggesting he look for books about movie studios in the 30s and 40s, and also suggests looking for magazines and newspaper articles.Person2 will look up magazine articles in the Reader's Guide to Periodical Literature and then read the books.",0.956432933807373,208.773046875
35,"Person2 went to Paris with their parents and had a great time. They visited famous sights, took a boat tour on the Seine River, and enjoyed sitting in cafes.",0.6617314052581788,93.70708984375
36,"Person1 and Person2 are looking for a movie to watch. They want to go to a movie theater in their neighborhood. They are looking for a movie that is not too long and not too expensive.Person1 notices a baseball game on TV tonight. Person2 is not interested in TV programs, but is interested in the baseball game. They decide to stay home and watch the game.",0.956432933807373,208.773046875
37,Lisa is going to spend a year in Japan and is learning Japanese.,0.6617314052581788,93.70708984375
38,"Person2 had a great time camping in the mountains near Snowdon. The weather was good and the people were friendly. They got up at 4:30, left at 5 and arrived at 9.",0.480078125,93.70720703125
39,Person1 is upset that Person2 didn't tell them about their girlfriend and marriage.,0.6617314052581788,93.70708984375
40,Armand invites friends over for dinner. They enjoy the wine and food. Ellen passes out.,0.480078125,93.70720703125
41,Person1 bought a new dress for $70 and saved $30. Person2 watched TV and read a book. They will visit Mike tomorrow.,0.6617314052581788,93.70708984375
42,Harris asks for Olivia at the box office at 7:10.,0.6617314052581788,93.70708984375
43,Jim White calls doctor Smith's office to ask for his home phone number.,0.6617314052581788,93.70708984375
44,Edward took the subway to school and found two books in the station. He plans to put his book there for sharing.,0.4420972156524658,91.128203125
45,#Person2# wants a machine gun for his birthday.,0.6617314052581788,93.70708984375
46,"Person 1 and Person 2 are watching a soap opera. Person 1 suggests watching a football match, but Person 2 doesn't like it. Person 1 suggests watching a documentary, but Person 2 doesn't like it either. Person 1 says Person 2 is selfish for watching TV for so long.",0.480078125,93.70720703125
47,Person1 and Person2 will go to the conference center together at 4 o'clock.,0.4442479991912841,105.2707421875
48,Carla is going to London to study. She asks Ahmed about accommodation. Ahmed recommends staying with a family.,0.6617314052581788,93.70708984375
49,Person1 asks Person2 for directions to the airport. Person2 shows them on a map and explains the best way to get there.,0.4442479991912841,105.2707421875
50,"Person2 was a leader in college, a member of the basketball society, and played basketball and football.",0.4442479991912841,105.2707421875
51,"James was arrested for stabbing a man three times in the belly. He claims he was defending himself after the victim beat him up. He says he didn't intend to kill the victim, but he couldn't control himself.Contact #Person1#'s contact.",0.9554055976867676,193.54578125
52,Person2 wants to do a management job and plans to apply his specialty and experience to his job.,0.6617314052581788,93.70708984375
53,Lucie Jing calls Mr. Was to inform him that his new credit card has arrived and he can either collect it or have it sent to him. Mr. Was decides to collect it and asks about the terms and conditions. Lucie Jing informs him that he needs to read them before signing the card and that his PIN number will be sent to him within 2 working days. Mr. Was thanks Lucie Jing and says he will be in later that day to collect his card.,0.6617314052581788,93.70708984375
54,Person1 thanks Person2 for lending them a book. Person2 warns them that it's difficult and requires a dictionary. Person1 says they don't usually look up words when reading a novel.,0.6617314052581788,93.70708984375
55,#Person1#: Let's start out to discuss the question of payment terms.,0.7679459095001221,96.77322265625
56,"Person2 opens a current account with 3, 000 yuan.",0.7679459095001221,96.77322265625
57,"The hero's acting is inferior to that of the heroine's, according to #Person2#. #Person1# disagrees.",0.4442479991912841,105.2707421875
58,"Person 1 and Person 2 have different opinions about spending summer days in a mountain village. Person 2 likes the fresh air and the quietness of the village, while Person 1 prefers the liveliness of a big town.",0.4442479991912841,105.2707421875
59,Tom and his wife are stuck in a snowstorm. They need to conserve the car's energy to stay warm.Person2 suggests turning the lights off and running the car and heater for 15 minutes every hour to conserve heat. Person1 agrees and they discuss the possibility of being stranded for days.,0.956432933807373,208.773046875
60,"Philip was surprised to receive an award, but Denise congratulated him and said he deserved it. They both expect to see each other nominated for awards soon.",0.7679459095001221,96.77322265625
61,Jenny is enjoying the party and having a great time.,0.7679459095001221,96.77322265625
62,Person2 is worried about her host family not liking her Chinese cooking.,0.4442479991912841,105.2707421875
63,Person1 is considering taking Dr. Miller's class next semester. Person2 thinks Dr. Miller is a good teacher and that the class will be interesting.,0.7679459095001221,96.77322265625
64,"Richard and David discuss the Lion King movie. Richard thinks it's a great film, while David thinks it's too predictable and lacks originality.#Person2# thinks the movie is cliche, #Person1# disagrees.",1.2991892910003662,211.23080078125
65,Jane and Person1 go to a nightclub. They dance and enjoy the nightlife.,0.4442479991912841,105.2707421875
66,Person1 and Person2 are looking for a new place to live. They want a house with a garden and a garage. They find an ad for a place that is available now and has a good location.,0.7679459095001221,96.77322265625
67,A tenant reports a problem with their air conditioner to the maintenance department.,0.4442479991912841,105.2707421875
68,A man fell down and is not breathing.,0.7679459095001221,96.77322265625
69,"Person1 asks for the next train to London, which leaves at 10:30 and is direct. Person1 buys two single tickets for 10 pounds and is directed to platform 5.",0.7679459095001221,96.77322265625
70,Customer bought a vacuum from spend-wart. It's broken. Customer Service confirms that it's still under warranty. Customer Service gives the address of the nearest Customer Service Office.,0.7679459095001221,96.77322265625
71,Mrs. Phoebe wants to discuss the delivery arrangement for their goods. The first 5000 goods will be delivered by the end of this month. The balance of the order will be delivered in 10 days. Mrs. Phoebe wants to sign an annual contract on the basis they discussed. Mrs. Phoebe offers a 5% discount for a confirmed monthly order for the next 12 months.#Person2# agrees to shake on the contract details.,0.9554055976867676,193.54578125
72,"The person wants to book a duplex suite for next Friday, but the hotel is overbooked. The person is suggested to contact Holiday Inn.",0.7679459095001221,96.77322265625
73,"Person1 wants to finish on time, but there are problems with the line.",0.7679459095001221,96.77322265625
74,John asks Lucy to tell Mary that he's met an old friend and is staying with him.,0.7679459095001221,96.77322265625
75,"Jack is looking for a place to rent. He finds a small room in a flat in London. The rent is 250 a week, plus bills. Jack can't afford that much, so he asks if he can pay 200 a week.400 cash for one month's rent and deposit, contract to be read and signed.",0.9554055976867676,193.54578125
76,"Person2's mother is recovering from an illness and will be back home in a few days. Person2 needs a week to take care of her and do some cleaning for her coming home. Person1 suggests hiring someone to do it, but Person2 is worried about his mother.",0.4442479991912841,105.2707421875
77,Person1 is going to meet Tracy at 7 sharp. They are going to decide where to go. Person2 suggests Citizen Kane at the Classic Film Festival. They also talk about swimming tomorrow.,0.7679459095001221,96.77322265625
78,"The baby is sleeping better since the mother's mother moved in, but the mother is still awake at night.",0.4442479991912841,105.2707421875
79,"Person2 is looking for a collection of 19th century European paintings. Person1 shows him a book with the yellow cover, which is the one he wants.",0.7679459095001221,96.77322265625
80,Third-hand smoke is dangerous for babies.,0.6799043083190918,92.61640625
81,Person 2 put a dollar in a vending machine for a 75 cent candy bar. The machine got stuck and wouldn't give him his quarter back. Person 1 suggested they rock the machine to get the candy bar out. Person 2 said he'd done it before and offered his candy bar to Person 1.,0.6799043083190918,92.61640625
